crop_name,seed_name,rainfall,soil,irrigation,sowing_time,maturity_time,seed_rate,avg_yeild,fertilizer,pesticide,location,special_feature,
Rice,Madhu, A monthly rainfall of 100-200 mm.,This rice is suitable for Red soil and Black cotton soil.," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.","The sowing time of Madhu rice are Kharif (April – September), Rabi (October – December), Summer/Zaid (January – March).",Time taken to mature is 120-125 days.,Seed requirement is 20 kg per hectare, It has the yield potential of 55-60 quintals per hectare.,Apply TNAU Rainfed rice MN mixture 12.5 kg/ha as EFYM at 1:10 ratio incubated for 30 days at friable moisture.,"Lambda-cyhalothrin, malathion and zeta-cypermethrin are all broad-spectrum pesticides used on rice.","Suitable zone in Karnataka are North Eastern Transition Zone, North Eastern Dry Zone and Northern Dry Zone.","High yielding, tolerant to cold. Grains are medium slender. It is moderately resistant to stem borer, bacterial leaf blight and blast.",
Rice,Mahaveer, A monthly rainfall of 100-200 mm,This rice is suitable for Red soil and Black cotton soil.," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.","The sowing time of Mahaveer rice are Kharif (April – September), Rabi (October – December), Summer/Zaid (January – March).",Time taken to mature is 110-115 days.,Seed requirement is 20 kg per hectare,It has an yield potential of 30 q/ha.,Apply TNAU Rainfed rice MN mixture 12.5 kg/ha as EFYM at 1:10 ratio incubated for 30 days at friable moisture.,"Lambda-cyhalothrin, malathion and zeta-cypermethrin are all broad-spectrum pesticides used on rice.",Suitable zone in Karnataka are Coastal Zone.,It is suitable for upland of gall midge endemic areas of South Kanara and North Kanara in kharif season. It has a dormancy of 15 days after harvest. It has a medium grain and the kernel is red in colour.,
Rice,Puspha, A monthly rainfall of 100-200 mm,This rice is suitable for Red soil and Black cotton soil.," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.","The sowing time of Puspha rice are Kharif (April – September), Rabi (October – December), Summer/Zaid (January – March).",Time taken to mature is 125-135 days.,Seed requirement is 20 kg per hectare,It has a yield potential of 42 q/ha.,Apply TNAU Rainfed rice MN mixture 12.5 kg/ha as EFYM at 1:10 ratio incubated for 30 days at friable moisture.,"Lambda-cyhalothrin, malathion and zeta-cypermethrin are all broad-spectrum pesticides used on rice.","Suitable zone in Karnataka are North Eastern Transition Zone, North Eastern Dry Zone and Northern Dry Zone.","Medium duration, high yielding variety with long slender grain.",
Rice,Abilash, A monthly rainfall of 100-200 mm,This rice is suitable for Red soil and Black cotton soil.," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",The sowing time of Abilash rice are Kharif (April – September).,Time taken to mature is 155-165 days.,Seed requirement is 20 kg per hectare,It has the yield potential of 55-60 quintals per hectare.,Apply TNAU Rainfed rice MN mixture 12.5 kg/ha as EFYM at 1:10 ratio incubated for 30 days at friable moisture.,"Lambda-cyhalothrin, malathion and zeta-cypermethrin are all broad-spectrum pesticides used on rice.",Suitable zone in Karnataka are Northern Transition Zone and Hill Zone.,"High yielding, tolerant to cold. Grains are medium slender. It is moderately resistant to stem borer, bacterial leaf blight and blast. It is suitable for summer planting.",
Rice,Intan, A monthly rainfall of 100-200 mm,This rice is suitable for Red soil and Black cotton soil.," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",The sowing time of Intan rice are Kharif (April – September).,Time taken to mature is 160-170 days.,Seed requirement is 20 kg per hectare,It has the yield potential of 55-60 quintals per hectare.,Apply TNAU Rainfed rice MN mixture 12.5 kg/ha as EFYM at 1:10 ratio incubated for 30 days at friable moisture.,"Lambda-cyhalothrin, malathion and zeta-cypermethrin are all broad-spectrum pesticides used on rice.",Suitable zone in Karnataka are Northern Transition Zone and Hill Zone.,"Resistant to blast disease, suitable for hilly areas of the State.",
Rice,Hemavathi," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",This rice is suitable for Red soil and Black cotton soil.," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",The sowing time of Hemavati rice are Kharif (April – September).,Time taken to mature is 160-170 days.,Seed requirement is 20 kg per hectare,"Produces grain yield of 24.2 q/ha on par or 10% more yield than Intan under low blast pressure conditions, 33% higher yield under temporary submergence conditions",Apply TNAU Rainfed rice MN mixture 12.5 kg/ha as EFYM at 1:10 ratio incubated for 30 days at friable moisture.,"Lambda-cyhalothrin, malathion and zeta-cypermethrin are all broad-spectrum pesticides used on rice.",Suitable zone in Karnataka are Hill Zone.," Recommended for cultivation in low lands of Hill Zone Taluks of Chikamagalur, Shimoga and Hassan districts. Tolerant to Leaf and neck blast.",
Ragi,GPU-28," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",It is cultivated mostly in red lateritic soils.,It is suited for cultivation in areas with annual rainfall of 700-1200mm. it does not tolerate heavy rainfall and requires a dry spell at the time of grain ripening. ,"The sowing time is between Kar or Early Kharif (April - August),Kharif (July - November),Late kharif (August - November) ,Rabi (October -September) Summer (January - May)",Time taken to mature is 120-125 days.,Seed requirement is 10 to 15 kg per hectare,It has an yield potential of 27-29 q/ha.,50% of recommended nitrogen is to be applied at sowing and the remaining 50% in two equal splits at 25-30 and 40-45 days after sowing.,"Any  one of the insecticides- monocrotophos 1.6 ml, Chlorpyriphos 2.5 ml or Quinalphos 2.5 ml or Acephate 1 gm or Carbaryl 3 gm or Cartap hydrochloride2 gm/lit to be sprayed  two times at 10 days interval or apply cartap hydrochloride 4G 10Kg/acre","Suitable region in Karnataka are Bangalore,Kolar,Tumkur,Shimoga,Mysore,Davanagere etc.",It can be grown in rainfed and irrigated conditions,
Ragi,HR 911," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",It is cultivated mostly in red lateritic soils.,It is suited for cultivation in areas with annual rainfall of 700-1200mm. it does not tolerate heavy rainfall and requires a dry spell at the time of grain ripening. ,"The sowing time is between Kar or Early Kharif (April - August),Kharif (July - November),Late kharif (August - November) ,Rabi (October -September) Summer (January - May)",Time taken to mature is 110-115 days.,Seed requirement is 10 to 15 kg per hectare,It has an yield potential of 40-50 q/ha.,50% of recommended nitrogen is to be applied at sowing and the remaining 50% in two equal splits at 25-30 and 40-45 days after sowing.,"Any  one of the insecticides- monocrotophos 1.6 ml, Chlorpyriphos 2.5 ml or Quinalphos 2.5 ml or Acephate 1 gm or Carbaryl 3 gm or Cartap hydrochloride2 gm/lit to be sprayed  two times at 10 days interval or apply cartap hydrochloride 4G 10Kg/acre","Suitable region in Karnataka are Bangalore,Kolar,Tumkur,Shimoga,Mysore,Davanagere etc.",It can be grown in rainfed and irrigated conditions,
Ragi,Indaf 8," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",It is cultivated mostly in red lateritic soils.,It is suited for cultivation in areas with annual rainfall of 700-1200mm. it does not tolerate heavy rainfall and requires a dry spell at the time of grain ripening. ,"The sowing time is between Kar or Early Kharif (April - August),Kharif (July - November),Late kharif (August - November) ,Rabi (October -September) Summer (January - May)",Time taken to mature is 120-125 days.,Seed requirement is 10 to 15 kg per hectare,It has an yield potential of 30-35 q/ha.,50% of recommended nitrogen is to be applied at sowing and the remaining 50% in two equal splits at 25-30 and 40-45 days after sowing.,"Any  one of the insecticides- monocrotophos 1.6 ml, Chlorpyriphos 2.5 ml or Quinalphos 2.5 ml or Acephate 1 gm or Carbaryl 3 gm or Cartap hydrochloride2 gm/lit to be sprayed  two times at 10 days interval or apply cartap hydrochloride 4G 10Kg/acre","Suitable region in Karnataka are Bangalore,Kolar,Tumkur,Shimoga,Mysore,Davanagere etc.",Long duration type for early sowings,
Ragi,Indaf 9," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",It is cultivated mostly in red lateritic soils.,It is suited for cultivation in areas with annual rainfall of 700-1200mm. it does not tolerate heavy rainfall and requires a dry spell at the time of grain ripening. ,"The sowing time is between Kar or Early Kharif (April - August),Kharif (July - November),Late kharif (August - November) ,Rabi (October -September) Summer (January - May)",Time taken to mature is 100-105 days.,Seed requirement is 10 to 15 kg per hectare,It has an yield potential of 35-40 q/ha.,50% of recommended nitrogen is to be applied at sowing and the remaining 50% in two equal splits at 25-30 and 40-45 days after sowing.,"Any  one of the insecticides- monocrotophos 1.6 ml, Chlorpyriphos 2.5 ml or Quinalphos 2.5 ml or Acephate 1 gm or Carbaryl 3 gm or Cartap hydrochloride2 gm/lit to be sprayed  two times at 10 days interval or apply cartap hydrochloride 4G 10Kg/acre","Suitable region in Karnataka are Bangalore,Kolar,Tumkur,Shimoga,Mysore,Davanagere etc.",For late sown conditions in Kharif,
